indicator,alert_percentile,alarm_percentile,alert_tukey,alarm_tukey,retention_filter,season_scope,baseline_method,country,q1_median,q3_median,median_iqr,alert_zscore,alarm_zscore
Goat,-7.038405174081808,-25.300768658566824,-31.306501989124868,-37.16012868813314,none,All Months,YOY,Kenya,-19.599248591108328,-6.013511467206868,11.70725339801654,-22.435369581818122,-58.66015792761271
Goat,-7.994722222222222,-26.982634443021766,-33.31336134871845,-39.756124901859614,>=40%,All Months,YOY,Kenya,-20.427834242436134,-6.939188352762505,12.88552710628232,-22.435369581818122,-58.66015792761271
Goat,-9.088879466900492,-27.855380651859747,-33.641318860687086,-39.574492669000136,none,All Months,LTM,Kenya,-21.774971244060993,-7.8595306074643165,11.866347616626093,-41.89837474891297,-89.18187806972698
Goat,-10.122499643225032,-30.386424491079108,-36.30126334955186,-42.51256713616522,>=40%,All Months,LTM,Kenya,-23.878655776325147,-8.922729059096238,12.422607573226713,-41.89837474891297,-89.18187806972698
Goat,-7.676050662626329,-25.54734321678727,-31.472374886441354,-37.564739409948004,none,All Months,FIVE_YEAR,Kenya,-19.28764583942806,-6.616964385738159,12.184729047013295,-6.0862552631198135,-37.853638358051214
Goat,-8.081014338686618,-26.640755549378007,-33.85294659644825,-40.46736087617128,>=40%,All Months,FIVE_YEAR,Kenya,-20.624118037002205,-7.18223356767626,13.228828559446047,-6.0862552631198135,-37.853638358051214
Goat,,,,,none,All Months,Nominal,Kenya,,,,1815.982462639519,281.0203316290572
Maize,14.285714285714285,38.43333333333333,44.717261904761905,53.79464285714286,none,All Months,YOY,Kenya,8.511904761904761,26.5625,18.154761904761905,56.60210867757855,101.1367971867377
Maize,22.900931377332512,51.0,60.333205243382864,71.89895947974316,>=40%,All Months,YOY,Kenya,13.175304878048781,37.20169677066229,23.13150847272058,56.60210867757855,101.1367971867377
Maize,12.145318129388482,27.656625146577202,30.36247585121473,36.44193422834645,none,All Months,LTM,Kenya,6.1963063437613535,18.203559096951295,12.158916754263434,40.46735915811525,75.16331535527074
Maize,17.44729843403489,34.9503887449093,39.123924708714256,46.35653053962872,>=40%,All Months,LTM,Kenya,9.612968861834823,24.658713046885325,14.46521166182893,40.46735915811525,75.16331535527074
Maize,13.311992656762062,27.42919278869236,33.79683614513932,40.57169721915199,none,All Months,FIVE_YEAR,Kenya,7.33383523502728,20.247113997114,13.549722148025328,43.01448884292661,72.23709321724658
Maize,14.37538805488841,31.815064926089686,35.53481516471797,42.519350377639256,>=40%,All Months,FIVE_YEAR,Kenya,8.356228243266749,21.56574473887541,13.969070425842563,43.01448884292661,72.23709321724658
